customerId,customerName,skuName,invoiceMonth,total
a21fb5ca-d2bd-4ebb-b624-dc91a41aec88,Goldstone Technologies Limited,Microsoft 365 Business Standard,2022-04-01,505.4
a39a820d-8e7b-4f67-99e4-a603d6932fe1,Mount Meru India Pvt. Ltd.,Microsoft 365 Business Basic,2022-04-01,114.0
a4fcb469-6336-47ea-a83b-3320488607fc,CHN TECHNOLOGIES,Microsoft 365 Business Basic,2022-04-01,500.0
a6a0ac69-3335-4df8-ad82-eb38285a6ed6,Radiant Technologies,Microsoft 365 Business Basic,2022-04-01,200.0
ad575fe2-cc8c-49a5-bb6e-228002566014,Techleaf Systems Pvt Ltd,Microsoft 365 Apps for business,2022-04-01,432.0
ad575fe2-cc8c-49a5-bb6e-228002566014,Techleaf Systems Pvt Ltd,Microsoft 365 Business Basic,2022-04-01,993.24
ada8f7d6-a4c9-4d8e-9ac5-744da359793d,Nitya Software Solutions Inc,Microsoft 365 Business Basic,2022-04-01,12540.0
b058d3be-6f6a-406c-bab2-bdf9aff6eeb5,Anxilla,Microsoft 365 Business Basic,2022-04-01,1140.0
b079e5b7-39b1-44e6-a3df-3ad75d27749f,Mount Meru India Pvt. Ltd.,Microsoft 365 Business Basic,2022-04-01,570.0
b0b9e640-3402-49f6-9e04-6a31bd4d32d4,Xemplar Insights,Microsoft 365 Apps for business,2022-04-01,5745.6
b0b9e640-3402-49f6-9e04-6a31bd4d32d4,Xemplar Insights,Microsoft 365 Business Basic,2022-04-01,7600.0
b28d4341-69d4-4725-9781-3558daa7ad74,Iperformics,Microsoft 365 Business Basic,2022-04-01,100.0
b4b3770e-e1ac-4df8-a50c-f13b12767e68,Aisin Automotive Karnataka Pvt Ltd,Microsoft 365 Business Basic,2022-04-01,9000.0
b6314c72-0369-4c22-8b1d-3875f89d952b,Rydot Infotech Pvt. Ltd,Microsoft 365 Business Basic,2022-04-01,665.0
b840487e-befd-4371-91ee-a67a262f9b00,SUNDARAM HEALTH CENTRE,Microsoft 365 Business Basic,2022-04-01,800.0
b840487e-befd-4371-91ee-a67a262f9b00,SUNDARAM HEALTH CENTRE,Microsoft 365 Business Standard,2022-04-01,5852.0
b9d10a00-6e5a-4a87-b0b3-f0df7a3ac351,Pixelonicmedia llp,Microsoft 365 Business Basic,2022-04-01,380.0
b9f919c1-3294-43ab-877d-630d590b0585,Mount Meru India Private Limited,Exchange Online Archiving for Exchange Online,2022-04-01,172.0
bae62f87-7961-440b-995f-27d81e2af369,Fasta Pizza Private Limited,Microsoft 365 Business Basic,2022-04-01,570.0
bb458189-abbd-4c2b-9001-f0accce3334f,Sravan,Microsoft 365 Business Basic,2022-04-01,266.65
c14676c2-2297-4766-ac91-266ffd443002,ABSOLUTE BARBECUE PVT. LIMITED,Microsoft 365 Business Standard,2022-04-01,3369.2700000000004
c219b6e3-8d5e-4584-8819-273b0ce3dad2,VeARC India Pvt. Ltd,Microsoft 365 Business Standard,2022-04-01,4464.3099999999995
c39b84d0-058c-4aee-91a9-d994372db7d4,Bestmummy Sweet and Cakes,Power BI Pro,2022-04-01,547.2
c5394d23-4adf-4ef3-b5b1-8aba00661d70,Semnox Solutions Private Limited,Microsoft 365 Business Basic,2022-04-01,17100.0
