,Service Name,SKU Name,SKU ID,Date Added
3841,SQL Server 2014 Express on Hardened Windows Server 2016 (49A4-06D7-2505),Licensing Fee for Standard Plan on VM with 8 to 11 VCPU,9348-B443-68B2,"July 31, 2020"
3842,SQL Server 2014 Standard on Windows Server 2012 R2 (EE83-8F28-2310),Licensing Fee for Standard Plan on VM with 0 to 1 VCPU,1FD0-00E0-C9E4,"July 31, 2020"
3843,SQL Server 2014 Standard on Windows Server 2012 R2 (EE83-8F28-2310),Licensing Fee for Standard Plan on VM with 10 to 11 VCPU,6D96-F4F0-C2C6,"July 31, 2020"
3844,SQL Server 2014 Standard on Windows Server 2012 R2 (EE83-8F28-2310),Licensing Fee for Standard Plan on VM with 12 to 13 VCPU,B0A3-472F-E609,"July 31, 2020"
3845,SQL Server 2014 Standard on Windows Server 2012 R2 (EE83-8F28-2310),Licensing Fee for Standard Plan on VM with 14 to 15 VCPU,112D-6267-B802,"July 31, 2020"
3846,SQL Server 2014 Standard on Windows Server 2012 R2 (EE83-8F28-2310),Licensing Fee for Standard Plan on VM with 16 VCPU or more,55A2-12E6-DA53,"July 31, 2020"
3847,SQL Server 2014 Standard on Windows Server 2012 R2 (EE83-8F28-2310),Licensing Fee for Standard Plan on VM with 2 to 3 VCPU,1C4D-442A-401C,"July 31, 2020"
3848,SQL Server 2014 Standard on Windows Server 2012 R2 (EE83-8F28-2310),Licensing Fee for Standard Plan on VM with 4 to 5 VCPU,2D1D-D855-7A27,"July 31, 2020"
3849,SQL Server 2014 Standard on Windows Server 2012 R2 (EE83-8F28-2310),Licensing Fee for Standard Plan on VM with 6 to 7 VCPU,8DF1-E19A-1DC5,"July 31, 2020"
3850,SQL Server 2014 Standard on Windows Server 2012 R2 (EE83-8F28-2310),Licensing Fee for Standard Plan on VM with 8 to 9 VCPU,BD79-D97A-4E4F,"July 31, 2020"
3851,SQL Server 2014 Web on Windows Server 2012 R2 (577C-275E-3D79),Licensing Fee for Standard Plan on VM with 0 to 1 VCPU,77BB-7088-1AEB,"July 31, 2020"
3852,SQL Server 2014 Web on Windows Server 2012 R2 (577C-275E-3D79),Licensing Fee for Standard Plan on VM with 10 to 11 VCPU,EB50-667E-F141,"July 31, 2020"
3853,SQL Server 2014 Web on Windows Server 2012 R2 (577C-275E-3D79),Licensing Fee for Standard Plan on VM with 12 to 13 VCPU,AA7F-2485-04AE,"July 31, 2020"
3854,SQL Server 2014 Web on Windows Server 2012 R2 (577C-275E-3D79),Licensing Fee for Standard Plan on VM with 14 to 15 VCPU,61E1-C748-4345,"July 31, 2020"
3855,SQL Server 2014 Web on Windows Server 2012 R2 (577C-275E-3D79),Licensing Fee for Standard Plan on VM with 16 VCPU or more,2E5B-A3FF-86B2,"July 31, 2020"
3856,SQL Server 2014 Web on Windows Server 2012 R2 (577C-275E-3D79),Licensing Fee for Standard Plan on VM with 2 to 3 VCPU,CEEE-4CF0-CEF3,"July 31, 2020"
3857,SQL Server 2014 Web on Windows Server 2012 R2 (577C-275E-3D79),Licensing Fee for Standard Plan on VM with 4 to 5 VCPU,CAD0-E7DA-98E2,"July 31, 2020"
3858,SQL Server 2014 Web on Windows Server 2012 R2 (577C-275E-3D79),Licensing Fee for Standard Plan on VM with 6 to 7 VCPU,3510-B4A3-9D60,"July 31, 2020"
3859,SQL Server 2014 Web on Windows Server 2012 R2 (577C-275E-3D79),Licensing Fee for Standard Plan on VM with 8 to 9 VCPU,7397-12E2-B9E1,"July 31, 2020"
3860,SQL Server 2016 AlwaysOn Failover Cluster Instance (Beta) (3FA1-C3F5-E701),Licensing Fee for Standard Plan,8B9B-AA19-BDE1,"June 26, 2020"
3861,SQL Server 2016 Enterprise on Windows Server 2012 R2 (4490-6188-E13C),Licensing Fee for Standard Plan on VM with 0 to 1 VCPU,D33B-2BC7-AB60,"July 31, 2020"
3862,SQL Server 2016 Enterprise on Windows Server 2012 R2 (4490-6188-E13C),Licensing Fee for Standard Plan on VM with 10 to 11 VCPU,4643-D343-A7AE,"July 31, 2020"
3863,SQL Server 2016 Enterprise on Windows Server 2012 R2 (4490-6188-E13C),Licensing Fee for Standard Plan on VM with 12 to 13 VCPU,69FC-618A-9674,"July 31, 2020"
3864,SQL Server 2016 Enterprise on Windows Server 2012 R2 (4490-6188-E13C),Licensing Fee for Standard Plan on VM with 14 to 15 VCPU,D834-AE06-7F9A,"July 31, 2020"
3865,SQL Server 2016 Enterprise on Windows Server 2012 R2 (4490-6188-E13C),Licensing Fee for Standard Plan on VM with 16 VCPU or more,6767-C91D-61E6,"July 31, 2020"
3866,SQL Server 2016 Enterprise on Windows Server 2012 R2 (4490-6188-E13C),Licensing Fee for Standard Plan on VM with 2 to 3 VCPU,FFA2-D3D8-621F,"July 31, 2020"
3867,SQL Server 2016 Enterprise on Windows Server 2012 R2 (4490-6188-E13C),Licensing Fee for Standard Plan on VM with 4 to 5 VCPU,1D09-1ED1-1888,"July 31, 2020"
